Year,Month,Region,Cases,Data_Source,Notes
2024,6,KAB BANTUL,104,historical_2021_2024,
2024,6,KAB GUNUNG KIDUL,157,historical_2021_2024,
2024,6,KAB KULON PROGO,222,historical_2021_2024,
2024,6,KAB SLEMAN,177,historical_2021_2024,
2024,6,KOTA YOGYAKARTA,25,historical_2021_2024,
2024,7,KAB BANTUL,99,historical_2021_2024,
2024,7,KAB GUNUNG KIDUL,158,historical_2021_2024,
2024,7,KAB KULON PROGO,181,historical_2021_2024,
2024,7,KAB SLEMAN,212,historical_2021_2024,
2024,7,KOTA YOGYAKARTA,21,historical_2021_2024,
2024,8,KAB BANTUL,85,historical_2021_2024,
2024,8,KAB GUNUNG KIDUL,64,historical_2021_2024,
2024,8,KAB KULON PROGO,108,historical_2021_2024,
2024,8,KAB SLEMAN,90,historical_2021_2024,
2024,8,KOTA YOGYAKARTA,17,historical_2021_2024,
2024,9,KAB BANTUL,112,historical_2021_2024,
2024,9,KAB GUNUNG KIDUL,46,historical_2021_2024,
2024,9,KAB KULON PROGO,176,historical_2021_2024,
2024,9,KAB SLEMAN,110,historical_2021_2024,
2024,9,KOTA YOGYAKARTA,19,historical_2021_2024,
2024,10,KAB BANTUL,124,historical_2021_2024,
2024,10,KAB GUNUNG KIDUL,59,historical_2021_2024,
2024,10,KAB KULON PROGO,167,historical_2021_2024,
2024,10,KAB SLEMAN,120,historical_2021_2024,
2024,10,KOTA YOGYAKARTA,14,historical_2021_2024,
2024,11,KAB BANTUL,139,historical_2021_2024,
2024,11,KAB GUNUNG KIDUL,119,historical_2021_2024,
2024,11,KAB KULON PROGO,171,historical_2021_2024,
2024,11,KAB SLEMAN,126,historical_2021_2024,
2024,11,KOTA YOGYAKARTA,23,historical_2021_2024,
2024,12,KAB BANTUL,169,historical_2021_2024,
2024,12,KAB GUNUNG KIDUL,133,historical_2021_2024,
2024,12,KAB KULON PROGO,193,historical_2021_2024,
2024,12,KAB SLEMAN,147,historical_2021_2024,
2024,12,KOTA YOGYAKARTA,23,historical_2021_2024,
2025,1,KAB BANTUL,183,current_2025,
2025,1,KAB GUNUNG KIDUL,237,current_2025,
2025,1,KAB KULON PROGO,468,current_2025,
2025,1,KAB SLEMAN,235,current_2025,
2025,1,KOTA YOGYAKARTA,57,current_2025,
2025,2,KAB BANTUL,124,current_2025,
2025,2,KAB GUNUNG KIDUL,132,current_2025,
2025,2,KAB KULON PROGO,402,current_2025,
2025,2,KAB SLEMAN,248,current_2025,
2025,2,KOTA YOGYAKARTA,26,current_2025,
2025,3,KAB BANTUL,83,current_2025,
2025,3,KAB GUNUNG KIDUL,104,current_2025,
2025,3,KAB KULON PROGO,324,current_2025,
2025,3,KAB SLEMAN,194,current_2025,
2025,3,KOTA YOGYAKARTA,18,current_2025,
2025,4,KAB BANTUL,83,current_2025,
2025,4,KAB GUNUNG KIDUL,54,current_2025,
2025,4,KAB KULON PROGO,167,current_2025,
2025,4,KAB SLEMAN,160,current_2025,
2025,4,KOTA YOGYAKARTA,19,current_2025,
2025,5,KAB BANTUL,67,current_2025,
2025,5,KAB GUNUNG KIDUL,56,current_2025,
2025,5,KAB KULON PROGO,156,current_2025,
2025,5,KAB SLEMAN,104,current_2025,
2025,5,KOTA YOGYAKARTA,13,current_2025,
2025,6,KAB BANTUL,88,current_2025,
2025,6,KAB GUNUNG KIDUL,63,current_2025,
2025,6,KAB KULON PROGO,149,current_2025,
2025,6,KAB SLEMAN,169,current_2025,
