Epi_Year,Epi_Week,Region,NDVI,Data_Source,Is_Imputed
2021,37,KAB GUNUNG KIDUL,0.64,modis_neo_csv,No
2021,37,KAB KULON PROGO,0.68,modis_neo_csv,No
2021,37,KAB SLEMAN,0.518,modis_neo_csv,No
2021,37,KOTA YOGYAKARTA,0.51,modis_neo_csv,No
2021,38,KAB BANTUL,0.664,modis_neo_csv,No
2021,38,KAB GUNUNG KIDUL,0.561,modis_neo_csv,No
2021,38,KAB KULON PROGO,0.695,modis_neo_csv,No
2021,38,KAB SLEMAN,0.569,modis_neo_csv,No
2021,38,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,39,KAB BANTUL,0.664,modis_neo_csv,No
2021,39,KAB GUNUNG KIDUL,0.561,modis_neo_csv,No
2021,39,KAB KULON PROGO,0.695,modis_neo_csv,No
2021,39,KAB SLEMAN,0.569,modis_neo_csv,No
2021,39,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,40,KAB BANTUL,0.636,modis_neo_csv,No
2021,40,KAB GUNUNG KIDUL,0.522,modis_neo_csv,No
2021,40,KAB KULON PROGO,0.68,modis_neo_csv,No
2021,40,KAB SLEMAN,0.573,modis_neo_csv,No
2021,40,KOTA YOGYAKARTA,0.546,modis_neo_csv,No
2021,41,KAB BANTUL,0.636,modis_neo_csv,No
2021,41,KAB GUNUNG KIDUL,0.522,modis_neo_csv,No
2021,41,KAB KULON PROGO,0.68,modis_neo_csv,No
2021,41,KAB SLEMAN,0.573,modis_neo_csv,No
2021,41,KOTA YOGYAKARTA,0.546,modis_neo_csv,No
2021,42,KAB BANTUL,0.605,modis_neo_csv,No
2021,42,KAB GUNUNG KIDUL,0.506,modis_neo_csv,No
2021,42,KAB KULON PROGO,0.687,modis_neo_csv,No
2021,42,KAB SLEMAN,0.561,modis_neo_csv,No
2021,42,KOTA YOGYAKARTA,0.498,modis_neo_csv,No
2021,43,KAB BANTUL,0.605,modis_neo_csv,No
2021,43,KAB GUNUNG KIDUL,0.506,modis_neo_csv,No
2021,43,KAB KULON PROGO,0.687,modis_neo_csv,No
2021,43,KAB SLEMAN,0.561,modis_neo_csv,No
2021,43,KOTA YOGYAKARTA,0.498,modis_neo_csv,No
2021,44,KAB BANTUL,0.672,modis_neo_csv,No
2021,44,KAB GUNUNG KIDUL,0.538,modis_neo_csv,No
2021,44,KAB KULON PROGO,0.735,modis_neo_csv,No
2021,44,KAB SLEMAN,0.624,modis_neo_csv,No
2021,44,KOTA YOGYAKARTA,0.691,modis_neo_csv,No
2021,45,KAB BANTUL,0.672,modis_neo_csv,No
2021,45,KAB GUNUNG KIDUL,0.538,modis_neo_csv,No
2021,45,KAB KULON PROGO,0.735,modis_neo_csv,No
2021,45,KAB SLEMAN,0.624,modis_neo_csv,No
2021,45,KOTA YOGYAKARTA,0.691,modis_neo_csv,No
2021,46,KAB BANTUL,0.672,modis_neo_csv,No
2021,46,KAB GUNUNG KIDUL,0.538,modis_neo_csv,No
2021,46,KAB KULON PROGO,0.735,modis_neo_csv,No
2021,46,KAB SLEMAN,0.624,modis_neo_csv,No
2021,46,KOTA YOGYAKARTA,0.691,modis_neo_csv,No
2021,47,KAB BANTUL,0.695,modis_neo_csv,No
2021,47,KAB GUNUNG KIDUL,0.774,modis_neo_csv,No
2021,47,KAB KULON PROGO,0.9,modis_neo_csv,No
2021,47,KAB SLEMAN,0.66,modis_neo_csv,No
2021,47,KOTA YOGYAKARTA,0.538,modis_neo_csv,No
2021,48,KAB BANTUL,0.695,modis_neo_csv,No
2021,48,KAB GUNUNG KIDUL,0.774,modis_neo_csv,No
2021,48,KAB KULON PROGO,0.9,modis_neo_csv,No
