Year,Region,Week,Cases,Latitude,Longitude
2025,KOTA YOGYAKARTA,39,1,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,40,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,41,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,42,1,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,43,1,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,44,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,45,0,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,46,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,47,7,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,48,4,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,49,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,50,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,51,0,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,52,1,-7.8239138,110.3479391
,,,,,
